date,signal_id,signal_name,domain_id,auto_score,final_score,total_hits,unique_publishers,severe_hits,critical_hits,override_note
2026-02-17,legislative_oversight_obstruction,Legislative Oversight Obstruction,federalism_oversight,0.00,0.00,0,0,0,0,
2026-02-17,martial_law_or_military_language,Martial Law or Military Governance Language,executive_constraints,1.00,1.00,1,1,0,0,
2026-02-17,military_domestic_political_use,Domestic Military Use in Political Conflict,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-17,opposition_ballot_exclusion,Opposition Ballot Exclusion,opposition_pluralism,1.00,1.00,2,2,0,0,
2026-02-17,political_speech_surveillance,Political Speech Criminalization or Surveillance,civil_liberties_information,1.00,1.00,2,2,0,0,
2026-02-17,politicized_prosecution_opposition,Politicized Prosecution of Opposition,opposition_pluralism,0.00,0.65,0,0,0,0,
2026-02-17,press_restrictions,Press Restrictions or Retaliation,civil_liberties_information,0.00,0.00,0,0,0,0,
2026-02-17,retaliation_architecture,Retaliation Architecture,opposition_pluralism,0.00,0.00,0,0,0,0,
2026-02-17,security_loyalty_tests,Security Sector Loyalty Tests,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-17,state_election_preemption,Federal Preemption of State Election Authority,federalism_oversight,0.00,0.00,0,0,0,0,
2026-02-18,alternate_elector_scheme,Alternate Elector Scheme Activity,elections_transfer,1.00,1.00,1,1,0,0,
2026-02-18,civil_service_purge_schedule_f,Civil Service Purge / Schedule F,civil_service_integrity,0.00,0.00,0,0,0,0,
2026-02-18,court_order_noncompliance,Court Order Noncompliance,judiciary_rule_of_law,1.00,1.00,1,1,0,0,
2026-02-18,election_administration_capture,Election Administration Capture,elections_transfer,2.00,2.00,5,4,0,0,
2026-02-18,election_certification_interference,Election Certification Interference,elections_transfer,0.00,0.00,0,0,0,0,
2026-02-18,election_delay_or_cancellation,Election Delay or Cancellation,elections_transfer,0.00,0.00,0,0,0,0,
2026-02-18,emergency_powers_expansion,Emergency Powers Expansion,executive_constraints,0.00,0.00,0,0,0,0,
2026-02-18,independent_agency_capture,Independent Agency Capture,civil_service_integrity,1.00,1.00,1,1,0,0,
2026-02-18,inspector_general_retaliation,Inspector General Retaliation,civil_service_integrity,0.00,0.00,0,0,0,0,
2026-02-18,judge_intimidation_campaign,Judge Intimidation Campaign,judiciary_rule_of_law,1.00,1.00,1,1,0,0,
2026-02-18,jurisdiction_stripping_targeted,Targeted Jurisdiction Stripping,judiciary_rule_of_law,0.00,0.00,0,0,0,0,
2026-02-18,legislative_bypass_executive,Legislative Bypass by Executive,executive_constraints,1.00,1.00,4,4,0,0,
2026-02-18,legislative_oversight_obstruction,Legislative Oversight Obstruction,federalism_oversight,0.00,0.00,0,0,0,0,
2026-02-18,martial_law_or_military_language,Martial Law or Military Governance Language,executive_constraints,0.00,0.65,0,0,0,0,
2026-02-18,military_domestic_political_use,Domestic Military Use in Political Conflict,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-18,opposition_ballot_exclusion,Opposition Ballot Exclusion,opposition_pluralism,1.00,1.00,1,1,0,0,
2026-02-18,political_speech_surveillance,Political Speech Criminalization or Surveillance,civil_liberties_information,1.00,1.00,1,1,0,0,
2026-02-18,politicized_prosecution_opposition,Politicized Prosecution of Opposition,opposition_pluralism,1.00,1.00,2,2,0,0,
2026-02-18,press_restrictions,Press Restrictions or Retaliation,civil_liberties_information,0.00,0.00,0,0,0,0,
2026-02-18,retaliation_architecture,Retaliation Architecture,opposition_pluralism,0.00,0.00,0,0,0,0,
2026-02-18,security_loyalty_tests,Security Sector Loyalty Tests,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-18,state_election_preemption,Federal Preemption of State Election Authority,federalism_oversight,0.00,0.00,0,0,0,0,
2026-02-19,alternate_elector_scheme,Alternate Elector Scheme Activity,elections_transfer,1.00,1.00,1,1,0,0,
2026-02-19,civil_service_purge_schedule_f,Civil Service Purge / Schedule F,civil_service_integrity,0.00,0.00,0,0,0,0,
2026-02-19,court_order_noncompliance,Court Order Noncompliance,judiciary_rule_of_law,1.00,1.00,1,1,0,0,
2026-02-19,election_administration_capture,Election Administration Capture,elections_transfer,2.00,2.00,8,6,0,0,
2026-02-19,election_certification_interference,Election Certification Interference,elections_transfer,0.00,0.00,0,0,0,0,
2026-02-19,election_delay_or_cancellation,Election Delay or Cancellation,elections_transfer,0.00,0.00,0,0,0,0,
2026-02-19,emergency_powers_expansion,Emergency Powers Expansion,executive_constraints,1.00,1.00,1,1,0,0,
2026-02-19,independent_agency_capture,Independent Agency Capture,civil_service_integrity,0.00,0.65,0,0,0,0,
2026-02-19,inspector_general_retaliation,Inspector General Retaliation,civil_service_integrity,0.00,0.00,0,0,0,0,
2026-02-19,judge_intimidation_campaign,Judge Intimidation Campaign,judiciary_rule_of_law,0.00,0.65,0,0,0,0,
2026-02-19,jurisdiction_stripping_targeted,Targeted Jurisdiction Stripping,judiciary_rule_of_law,1.00,1.00,1,1,0,0,
2026-02-19,legislative_bypass_executive,Legislative Bypass by Executive,executive_constraints,1.00,1.00,3,3,0,0,
2026-02-19,legislative_oversight_obstruction,Legislative Oversight Obstruction,federalism_oversight,0.00,0.00,0,0,0,0,
2026-02-19,martial_law_or_military_language,Martial Law or Military Governance Language,executive_constraints,2.00,2.00,4,2,0,0,
2026-02-19,military_domestic_political_use,Domestic Military Use in Political Conflict,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-19,opposition_ballot_exclusion,Opposition Ballot Exclusion,opposition_pluralism,1.00,1.00,1,1,0,0,
2026-02-19,political_speech_surveillance,Political Speech Criminalization or Surveillance,civil_liberties_information,1.00,1.00,1,1,0,0,
2026-02-19,politicized_prosecution_opposition,Politicized Prosecution of Opposition,opposition_pluralism,2.00,2.00,4,2,0,0,
2026-02-19,press_restrictions,Press Restrictions or Retaliation,civil_liberties_information,1.00,1.00,1,1,0,0,
2026-02-19,retaliation_architecture,Retaliation Architecture,opposition_pluralism,0.00,0.00,0,0,0,0,
2026-02-19,security_loyalty_tests,Security Sector Loyalty Tests,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-19,state_election_preemption,Federal Preemption of State Election Authority,federalism_oversight,0.00,0.00,0,0,0,0,
2026-02-20,alternate_elector_scheme,Alternate Elector Scheme Activity,elections_transfer,0.00,0.65,0,0,0,0,
2026-02-20,civil_service_purge_schedule_f,Civil Service Purge / Schedule F,civil_service_integrity,1.00,1.00,1,1,0,0,
2026-02-20,court_order_noncompliance,Court Order Noncompliance,judiciary_rule_of_law,1.00,1.00,1,1,0,0,
2026-02-20,election_administration_capture,Election Administration Capture,elections_transfer,2.00,2.00,8,3,0,0,
2026-02-20,election_certification_interference,Election Certification Interference,elections_transfer,0.00,0.00,0,0,0,0,
2026-02-20,election_delay_or_cancellation,Election Delay or Cancellation,elections_transfer,1.00,1.00,2,1,0,0,
2026-02-20,emergency_powers_expansion,Emergency Powers Expansion,executive_constraints,1.00,1.00,2,2,0,0,
2026-02-20,independent_agency_capture,Independent Agency Capture,civil_service_integrity,0.00,0.30,0,0,0,0,
2026-02-20,inspector_general_retaliation,Inspector General Retaliation,civil_service_integrity,0.00,0.00,0,0,0,0,
2026-02-20,judge_intimidation_campaign,Judge Intimidation Campaign,judiciary_rule_of_law,1.00,1.00,2,1,0,0,
2026-02-20,jurisdiction_stripping_targeted,Targeted Jurisdiction Stripping,judiciary_rule_of_law,0.00,0.65,0,0,0,0,
2026-02-20,legislative_bypass_executive,Legislative Bypass by Executive,executive_constraints,1.00,1.00,3,3,0,0,
2026-02-20,legislative_oversight_obstruction,Legislative Oversight Obstruction,federalism_oversight,0.00,0.00,0,0,0,0,
2026-02-20,martial_law_or_military_language,Martial Law or Military Governance Language,executive_constraints,1.00,1.65,3,1,0,0,
2026-02-20,military_domestic_political_use,Domestic Military Use in Political Conflict,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-20,opposition_ballot_exclusion,Opposition Ballot Exclusion,opposition_pluralism,1.00,1.00,1,1,0,0,
2026-02-20,political_speech_surveillance,Political Speech Criminalization or Surveillance,civil_liberties_information,1.00,1.00,1,1,0,0,
2026-02-20,politicized_prosecution_opposition,Politicized Prosecution of Opposition,opposition_pluralism,1.00,1.65,2,1,0,0,
2026-02-20,press_restrictions,Press Restrictions or Retaliation,civil_liberties_information,0.00,0.65,0,0,0,0,
2026-02-20,retaliation_architecture,Retaliation Architecture,opposition_pluralism,0.00,0.00,0,0,0,0,
2026-02-20,security_loyalty_tests,Security Sector Loyalty Tests,security_sector_neutrality,0.00,0.00,0,0,0,0,
2026-02-20,state_election_preemption,Federal Preemption of State Election Authority,federalism_oversight,0.00,0.00,0,0,0,0,
